itemset_id,candidate_items
6998,"[31432 34338 25194 13979 19204 27447  7377 12942 16926 34643 28955 36689
 42035   706 40090 36413   784   231 21265 12820 10434 33644  4191 13708
 37284 16606 27596 22347  8487  9574 27897 38871 16941 27999 24947 35430
 16326  7876 38976 13707 32842  9628 25860 16118 25264 40969 28867  7945
 19090 18589 20422 29189  8197 14190 23507 41739  1363 40884 36867 26324
 12819 11280  8943  8007 23968 38600 40395 21114 37752 42089 27761  6655
 31941 17187 41045 26625  5106 14536 24295 28586 14492 29169  8525 36958
 33642 38939 23867 37718 19547 30085 11750 33008 39475  7977 30788 33730
  8155  2568  4851 32102]"
8941,"[31432 34338 25194 19204 13979 27447 12942 28955  7377 36413  4191 37284
 42035   706 40090 16606 36689 34643 13708  9574 21265 40969  1363 16941
   231 27897 10434   784 14985 13707 38976 22347 42089 16118 32842  7530
 17187 14492 33644 41045  8487 12820 18589 26324 38871  7876 14230 35430
 27596 40884 12819 18481 30085 16326 35603  7945 31941  8197 23968 26625
 14536 25186 32102  8943 41739 33008  2568 33642 28867 16926 13597 21114
 11280 37752 40395 30116 24115  4886 29189 19547  2592 12648 19090 39609
  1554 19353 27761     0 27999 20422 37770 29169  4851 33730 23867 34759
 37718  1738 41526 24295]"
11717,"[31432 27447 13979 25194 34338 19204 36413 28955  4191 12942  7377 37284
 34643 42035 16926  9574 16941 16606 40090 10434 36689  1363 27596 16118
   706   784  8525 12820  8487 25186 32842 13708 18481 40969 38939 28867
  7876 35430 30085 13707 22347 17187   291 14190 14536 21265 20422 42089
 19090 41739  1554 35603   231  4886 26324  8943 29189  6655 14492 27897
 12819 33644  6651 14985  7530 14230  7945 23968 39475 18589 19353 40884
 40395 38871 32102 38976 39609 12648  2592 19547  4986  4851 31941 21000
  8007 11280 26625 14824 23832 22392 41526 41045 22118 34759 13597 27999
 19802  8155 37209 37718]"
18595,"[31432 34338 25194 13979 19204 27447 12942  7377 28955  4191 34643   706
 10434 40090 36413 16606 36689 37284 16941  8487  9574 16926  1363 13708
 38871 42035 38976 40969 27897 13707 27596 42089 12820   231 17187 16118
 35430  7530   784 22347 14492 21265 41045 19090  6655 31941 14230  1554
 14985  8943  8155 40395 38939 13597 26324 14536 18481 21506 16326  8007
 32842 20422 35603 29189 14190 30085 33644 25264 37752 33008 26625 27999
  4986 29169  7876 23832 18589 22251 28867 33642 11280 23867  2568 12819
 37718 37209 25186 23968  4851 21114 41526  7945 40884  8525 13144 30788
 14084 39609 27761 19547]"
23064,"[34338 31432 25194 19204 13979 16926 34643 27447  7377  4191 10434  8487
 12942 28955 36413 12820 36689 16941 27596 14190 40090 38939  9574 16606
 19090   706   784 38871  1363 42035 35430 37284 20422  6655  8007 13707
  8525   231 16118 27897 29189  8943 28867 21506  8155 22347 33644  1554
 32842 40395 14536 13708 17187  7876 38976  6711 18481 25186 25264 27999
  8532  9628 40969 25860 21265 23507   291 30788 42089 19802  4986 26324
 31941 16326 24947 39475 14492 11280  4851 14084 37718 29169 28586  7587
 30085 36958  4886 23832 35072 23968  6651 12819 19547 23260 23867  7945
 40522 30003 22392 35603]"
12477,"[31432 34338 25194 19204 13979 12942 28955 27447  4191  7377 19090   706
  8487 14190 37284 34643 16606 27999 13707 14230 16941 41045 13708  1363
 27897 42035  7530 40090 38871 40969 27596 42089 38976 10434 36689 11280
   231  7876  8155 36413 35603 14492 21506 30788 17187 31941  1554 41526
   291 33644 38939 31128 14985 14536  5553 16926 30116 23832  6655 16326
 22409 13144  8943 29169 23867 14084 25186 13597 39475 25264 36370  8007
 35358 10810 12819 28620 26625 35072 15910 37752 26324 33008  8532 18481
 21011 41299  4986  9574 21418 29189  1738 17715 16118 39609  2592 35006
   784  4851  6056 28069]"
5972,"[34338 31432 19204 13979 12942 25194 27447 28955  7377 19090 27999 14190
  8487   706  4191 11280 42035 38871 27897 33644 13707  7876   231 41045
 13708 27596  9628 37284 34643 14230 30788 38976 36689 16326 16926 21506
 16606  8155  7530 16941 22409 25264 10810 40969 40090 36370 13144   291
 42089  1363 38939 21011 30116 35603 10434  8007 23867 14084 10121 29169
   784 31941 39475  6056 41526 14492  5553 11750 38600 35072 28620 41299
 17715 35358  8532 37752 33008 24947 23832 21265 29189  7587 26625 15910
 28069 31605  6655  8943 14713 40884   494 14536 26324 31128  1554 15430
  8197  1738 38118  8398]"
23363,"[34338 19204 13979 25194 16926 27447 31432 34643 14190  7377  8487 19090
 27596 38939 12820  4191 10434   784 27999  9628 12942 28955 36689 38871
 16941 33644  8525  8007 20422  7876 42035  6655   291   231  6711 29189
 36413 28867 35430 21506 25264 13707  9574 11280 28586 39475  8532 27897
  8943 30788 25860 16606  1363 25186   706  8155 32842 36958 24947 40090
 14536 23260 16326 23507 16118 33837 33815 37284 35072  6651  1554 16039
 10121 22347 22409 36867 14084  7587 40522 21011 19802 40395 14713  7977
  4986  4851 18481 41739 26324 21265 29169 13708 25076 23832  8595  7945
 37718 38118 38976 21627]"
14918,"[34338 31432 25194 19204 13979 27447 16926  7377 34643 12942 42035 28955
 36689   784 12820 33644 27596   231 36413  8487  4191   706 14190 10434
 40090 27999 21265 19090  9628  7876 38871 37284 16941 27897  9574 13708
 22347 16606 20422 35430 24947 32842 38939 28867 13707 16326 29189 25860
 25264  8525  8007 16118 36867  8943 11280  6655 23507 28586 41739 36958
  1363  7945   291 38976 39475  8197  6711 14536 30788 40969 26324 40884
 21506 38600  7977 12819 24295  6651 29169 25186 23968 40395 18589  8155
 37718 33815 11750  5106  4851 14084 14713 18481 33837 17187 37752 31941
 27761 35072 23867 22409]"
19018,"[31432 34338 25194 13979 19204 12942  7377 27447 28955  4191   706 40090
 34643 36689 16606 36413 10434 37284  8487 13708 42035 16941 27897 38976
 38871   231 16926 40969 13707  9574 21265  1363 42089 27596   784 12820
 22347 41045 33644 27999 35430 17187  7530 19090 16326 31941 14492 16118
 14230 25264  8155  7876 14985 26324 33008  6655 21506 24947 13597  1554
 37752 11280 40395 18589  8943 23867 26625 33642 32842 21114  8007 40884
 27761 29189  7945 29169 38600  8197 22251  2568 14190 35603 14536 13144
 20422 12819 30788 18481 37718 30085 41299 23832  4986 14084 23507  9628
 41526 23968  4851 38939]"
25730,"[34338 31432 19204 25194 13979 27447 12942  7377 28955 16926  8487   706
 19090 27999  4191 14190 42035 34643 27596   231 33644 36689 38871 37284
 13707 27897  9628  7876 13708   784 10434 40090 16606 16941 16326 11280
 12820 38976 41045 25264 38939 21265  1363  8007 36413 40969 30788 14230
  8155 21506 24947 29189 22347   291 22409 39475 42089  6655 13144 10810
  8943  7530 35603 31941 38600 20422 26324 28867 21011 29169 40884 14084
 35430 14536 23867  8525 14492  8197  8532 36370 17187 37752  9574 32842
 14713 26625 11750  7945 16118  6056  1554 35072 30116 23832 25860 12819
 41526  7587 10121 33008]"
26182,"[34338 25194 19204 31432 16926 13979 14190 34643 38939  4191  8487 27447
 19090 10434 27596  7377 16941 12820  6655  8007  8525 20422   291  6711
  8532  1363 21506 36413 38871 25186  1554  9574  8155 28955  8943 29189
 35430 14536 19802 30788 28867 13707 27999   784 16606  9628 16118 39475
 18481 35072 23260  6651 40522 10121  7876 36689 14084 40395  4986 16039
  7587 28586 21011 23832 33837 11280 33815 38118 25264 36958 17187  4851
  4626 22409 40090 37284 12942 41526 27897  8595 14713 30003 32842 10051
 29169 23507 21000  4886 35603 14230 25860  3579 25076 28924 19675 31941
 31815 37713  8114 31128]"
13467,"[34338 31432 25194 19204 12942 13979 28955 27447  4191  7377 19090  8487
 14190 27999   706 34643 37284 13707 38871 27596 14230 41045 27897 11280
 16941 16606 42035  7876  1363  7530 13708 13144  8155   231 16926 21506
 30788 40969 38939   291 33644 10434 42089 38976 35603 40090  9628 22409
 16326  8007 36689 14492  1554 31941 41526 39475 36370 10810 14536 30116
 23832 21011 17187 35072 25264  6655  8532 14084  5553 10121  8943 29169
 35358 23867 14985 15910 17715 31128 25186 29189 28620 14713  6056 26625
 37752  7587 41299 26324   784 33008 28069 13597  1738 40884 12819 38118
 38600 31605 35006  3579]"
17056,"[31432 34338 25194 19204 13979 27447  7377 12942 28955 36413 16926 34643
 42035  4191 36689   706 40090 37284   784 12820 16606 10434  9574   231
 21265 27596  8487 16941 13708 33644 22347 27897 35430 38871 32842 16118
  7876  1363 13707 28867 40969 20422 16326 27999 19090 38976 14190 29189
 41739  8943 38939 18589  7945 24947  8525 26324 25860 25264  9628  6655
 18481 23968 40884 36867 17187  8197 14536 40395 23507 12819  8007 14492
 42089 11280 14985 30085 39475 25186 19547 31941   291 21114 36958 41045
 37752 29169 38600 28586 12648 26625 37718  4886  1554 24295  6651 33642
 35603  4851 32102 27761]"
23672,"[31432 25194 19204 34338 13979 27447  7377 42035 36413 36689 21265 12942
 40090   784   706  9574   231 22347 12820 28955 16926 33644 34643 13708
 18589 37284 32842  8197 16606 35430 24947 25860 10434 41739 16118 21114
 27897 23968 36867  7945 16326 19547 23507 38976 28867 40884 24295 40969
 20422 33642 26324 27761 40395 30085  7876  5106 16941 38871 33730 25264
 38471 38600 32102 27596 12819 12648 29189 28586 21059 13707 26625 15774
  2568 36958 12996 24332  4191  9628 30028 33008 37718  7557 14985 41034
 17187 37752  4886     0  7977  1363 18481  8595 13297 42089 39799  8943
 14492 31941 22118  4179]"
4448,"[31432 34338 25194 19204 12942 13979  7377 27447 28955   706 42035 27999
   231 19090  4191  8487 36689 33644 13708 27897 37284 34643 14190 40090
 38871 16926  7876 21265  9628 13707 27596   784 16326 16606 41045 38976
 11280 25264 10434 40969 24947 16941 22347 12820  8197 14230 10810 38600
 42089 30788 36413  7530  1363  8155 31941 40884 29189 22409 23867 21506
 11750  7945 13144 33008 14492 26625  8007 37752 36370 29169 26324  6056
 30116 35603  8943 27761 41299 32842 14084 39475 24295 35430 21011 28620
 12819 25860 38939 28867 17187  5106 15430 20422 41526 23507 17715   494
  6655 33299 16118 36867]"
16200,"[31432 34338 25194 13979 12942 19204 28955 27447  7377   706  4191 42035
 37284 13708 27999  8487 40090 19090 36689   231 16606 27897 34643 41045
 38871 13707 38976 33644 40969 21265 14190 14230  7876 16941  7530 42089
 11280 16326 27596  1363 36413 10434   784 14492 22347 25264 31941 33008
 14985  8155 35603 26625 17187  8197  9628 10810 30116 13144 30788 40884
 38600 37752 23867 26324 21506 29169 22409 36370  6056 41299  5553 16926
  7945 12819 24947  9574 28620 16118 41526 23832 11750 14084  1738 12820
   494  8943 27761 28069 13597  2568 29189 39475  8007 33642 35358 17715
 14536 31605  1554 15430]"
20471,"[31432 34338 25194 19204 13979 27447  4191  7377 28955 12942 34643 36413
 16926 10434   706 40090  8487 16606 37284 36689 16941  1363  9574 42035
 27596 19090 12820 14190 38871 13707 27897 38939 40969 13708   784 16118
 35430 38976 17187 42089   231  6655  1554 20422 14492  7530 14536  8007
 22347  8155 18481  8943 14230 21506 14985 32842 31941 41045 29189 25186
 40395 21265  8525 26324  7876 27999 28867 35603 33644 16326  4986 13597
   291 30085 23832 11280 39475 30788  4851 29169  8532 41526 25264 12819
 23968 37752 14084 23867 19802  7945 39609 13144 40884 37718 26625  4886
 37209 19353 30003 22392]"
12215,"[31432 34338 25194 13979 19204 27447  4191 28955  7377 12942 34643 36413
 10434 40090 16606   706 16941 37284  9574 36689  1363  8487 16926 40969
 13708 27596 42089 17187 38976 13707 12820 16118 42035 38871 27897 35430
  7530  1554 14492  6655 14985 38939 18481 14230 22347 31941   784 14536
 40395  8943  8155 19090 13597 41045   231 20422 26324 30085 25186 21506
 35603 32842 29189 21265  8007  4986  8525 14190 23832 37209 39609 28867
 23968 41526  4851 22251 37718  4886 18589 29169 19802 12819  2568 22392
 22118 37752 26625 21114 33642 19353 33008 12648 19547 21000 23867 16326
  7945 13144 30788 40884]"
23893,"[34338 19204 31432 25194 13979 16926  7377 27447 34643 12942 14190  8487
 19090 27596 36689 27999 28955 12820 10434 42035 38871   784 33644  9628
   231  4191   706 40090  7876 38939 16941 27897 13707 25264 24947  8007
 20422 21265 13708 16326 16606 29189 36413 11280  6655 22347 35430 25860
 21506 28867  8525 37284  6711 23507 38976 30788 32842  9574  8943 28586
 16118  8155  1363   291  8532 39475 36958 14536 38600 36867  7587  7945
 23260 33815 22409 14084  7977 40969 16039 21011 23867 26324 11750 31941
 33837 29169 14713 35072 40395 40884  8197 13144 37752 10810 41739  5106
 41045 10121  4851 37718]"
3532,"[25194 34338 31432 19204 13979 16926 27447 34643  7377 36413 10434  4191
 12820 27596 36689  9574   784  8487 16941 42035 40090 12942 28955 38939
 14190 35430 16606 20422 16118  8525  1363 37284 28867 32842  6655 38871
   231 22347 19090 29189 33644   706  8007 21265 25860  8943 25186 13707
 40395  6711 18481  7876 14536   291 27897 23507 28586 41739  6651 17187
 36958 23968  9628  1554 36867  4886 24947 25264 26324 13708 21506 30085
 19802  7945  8532 16326 19547 39475  8595 12648 38976  4986 40969  8155
 40522  4851 33815 37718 18589 30788 27999 33837  4626 12819 30003 22392
 11280 35072 40884 23260]"
17597,"[31432 34338 19204 25194 13979 12942  7377 27447 42035   706   231 36689
 33644 21265 28955 27999   784 13708 40090  9628 16926 24947 16326 27897
 22347  8197 38871 12820  7876 34643 25264 37284 38976 25860 27596 38600
 36413 18589  7945 13707 36867 40884  8487 32842 16606 24295 23507 11280
 41045 10434 35430 11750 27761  7977  5106 40969 41739 19090 10810 28586
 21114 26625 33008 29189 28867 26324 37752 33299  6056 33642 21059 33730
 12819  9574 30028 29197 23867 23968 16118 20422 36958 15430 13297   494
 32102 15765 31941 24332 29169 35099 41299 21030 13629 16941 37718 14190
  2568  3620  8007  2278]"
13331,"[16926 34338 25194 19204 34643 13979 12820 10434  7377 14190  8487 38939
 27596 27447  9628  6711 20422  8007   784 36689 19090  6655 35430  8525
 38871 16941 25860 28586 23507 28867 24947  9574 25264 29189  4191 21506
 36958 33815 23260  8532 16039 40522 27999 33644 33837   231 40395  8595
 36413  8943  7587 19802 40090 32842 16118 22347  8155  6651  7876 36867
 21011 14084  7977 30788  1554 13707 14536 41844  1363 17807  4986 10121
   291 16326 35072 39475 27897 37718  4626 37817 28189 14713 25186 38118
 41739 14587  5106  6327 16606  4851 28924 10051 13297 25076  1392  5524
 30003 18481 11280 21651]"
18225,"[31432 34338 25194 19204 13979 27447 12942 28955  4191  7377   706  8487
 19090 37284 34643 16606 14190 42035 16941  1363 13707 40090 27999 36413
 27897 13708 14230 41045 38871  7530 40969 36689 27596 10434 42089 38976
 11280   231 14492  8155 35603  7876 16926 17187 38939 21506  1554 30788
 14985  9574   291 14536 31941 33644  6655 41526 16326   784 16118  8943
 26324 25186 23832 30116  5553 39475  8007 13144 13597 18481 26625 23867
 29169 22409 14084 29189 12819 37752 25264 33008  4986  8532 15910 35072
 35358  8525 22347 28620 39609 41299 31128  2592  4851 12820 40884 10810
 21265 36370 21418 21011]"
20053,"[31432 34338 25194 19204 13979 27447 12942 28955  7377  4191 19090  8487
 42035   706 14190 34643 37284 27999 16926 27596 16606 36413 36689   231
 13707 40090 13708 33644 16941 27897  7876 38871  1363 10434   784 11280
 41045   291 14230 40969 38939 16326 38976 21265 12820 30788  7530  9628
 42089 35603  9574 14536 22347 39475 16118  8155 14492  8943 21506 29189
 26324 17187 25186  8525 25264  8007 29169 12819 30116 32842 14985 28867
  6655 31941 22409 40884  1554 41526 26625 13144 35072 18481 23832 20422
  7945 23867 14084 37752 10810 35430  6056  4851  8197  5553 33008 38600
 28620  8532 14713 24947]"
20891,"[31432 34338 25194 13979 19204 27447 12942 28955  7377 42035 36413 16926
 37284 34643  4191 36689   706   784 40090 21265  9574 16606 12820   231
 33644 27596 10434 13708 16941  8487 32842 14190 19090  7876  1363 22347
 13707   291 16118 27897 35430 38871 41739 28867 40969 29189 25186 20422
 27999 26324 14985  7945 16326 14536  8525 40884  8943 12819 17187 38976
 36867 39475 11280 18589 18481 14492 23968 24947 38939 42089 35603 25860
  6651  4886  8197 30788 36958  6655 30085  9628  7530 32102 25264 41045
 26625 24295 19547 40395 31941  8007 29169 23507 14230  4851  1554 19353
 28586 30116 37752 12648]"
